finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6,race_id
10,6,FOREVER ACCURATE,S301,D Whyte,C H Yip,124,1118,7,8,3,4,3,10,1.23.43,20,NA,NA,2016-005
11,8,WORLD RECORD,V040,K Teetan,A T Millard,121,1035,8,10-1/4,12,12,12,11,1.23.78,10,NA,NA,2016-005
12,7,GAINFULJET,V283,N Callan,A S Cruz,122,1214,11,11-3/4,2,3,4,12,1.24.05,17,NA,NA,2016-005
13,5,AUDACITY,V238,T H So,L Ho,124,1093,6,12,13,13,13,13,1.24.08,99,NA,NA,2016-005
UR,2,SUPER MAN,T213,K K Chiong,W Y So,126,1182,3,-,4,6,6,NA,---,3.3,NA,NA,2016-005
1,3,ROUNDABOUT,T352,D Whyte,W Y So,128,1109,11,-,11,10,1,NA,1.09.19,16,NA,NA,2016-006
2,1,BOLD STITCH,S323,K K Chiong,A T Millard,123,1109,7,1-3/4,2,2,2,NA,1.09.44,11,NA,NA,2016-006
3,5,WONDERFUL JOURNEY,T402,N Rawiller,P F Yiu,126,1113,13,3-1/2,1,1,3,NA,1.09.71,24,NA,NA,2016-006
4,7,FOREVER POSH,V072,M L Yeung,A S Cruz,122,1018,5,3-1/2,5,3,4,NA,1.09.72,18,NA,NA,2016-006
5,11,RICHCITY FORTUNE,V088,S Clipperton,J Moore,121,1139,6,4-1/4,10,9,5,NA,1.09.86,36,NA,NA,2016-006
6,2,THE FULL BLOOM,V243,T H So,C H Yip,127,1043,2,4-3/4,9,11,6,NA,1.09.94,73,NA,NA,2016-006
7,4,UNLEASHED DRAGON,V205,Z Purton,R Gibson,127,1104,3,4-3/4,4,5,7,NA,1.09.95,3.1,NA,NA,2016-006
8,12,SMILING GLORY,V231,J Moreira,K L Man,121,1171,10,5-3/4,8,6,8,NA,1.10.12,3,NA,NA,2016-006
9,14,HAPPY FIERY DRAGON,V108,N Callan,D Cruz,120,1018,4,7,6,7,9,NA,1.10.29,11,NA,NA,2016-006
10,9,G-ONE UNION,V276,K Teetan,T P Yung,122,1155,9,8-3/4,7,8,10,NA,1.10.61,7.3,NA,NA,2016-006
11,6,TRENDIFUL,S185,O Doleuze,C W Chang,125,1134,8,9,3,4,11,NA,1.10.65,26,NA,NA,2016-006
12,8,EMPIRE OF MONGOLIA,V317,H T Mo,C S Shum,112,1062,12,10,13,13,12,NA,1.10.80,99,NA,NA,2016-006
13,10,THE RAINBOW,V095,Y T Cheng,Y S Tsui,122,1059,14,10-1/4,12,12,13,NA,1.10.81,99,NA,NA,2016-006
14,13,BEST REWARD,V189,H N Wong,W Y So,118,1098,1,13-1/2,14,14,14,NA,1.11.33,99,NA,NA,2016-006
WV,NA,GOLD TALENT,S113,H W Lai,A Lee,118,1133,---,---,NA,NA,NA,NA,---,---,NA,NA,2016-006
1,5,ADVENTURER,V066,H N Wong,Y S Tsui,113,1106,10,-,1,1,1,NA,0.56.13,5,NA,NA,2016-007
2,13,LOOKS LIKE THE CAT,T238,K Teetan,C Fownes,115,1123,4,3-3/4,13,12,2,NA,0.56.71,12,NA,NA,2016-007
3,3,FLYING FORCE,V014,D Whyte,C H Yip,123,1072,5,3-3/4,11,5,3,NA,0.56.72,5.7,NA,NA,2016-007
4,14,BEAUTY CONNECTION,T415,K C Ng,A S Cruz,109,1128,1,3-3/4,3,3,4,NA,0.56.74,42,NA,NA,2016-007
5,1,DIAMOND DRAGON,V002,N Rawiller,K W Lui,133,1121,6,3-3/4,12,11,5,NA,0.56.74,11,NA,NA,2016-007
6,12,GOAL FOR GOLD,S439,H T Mo,C S Shum,105,1086,14,4,14,14,6,NA,0.56.75,8.1,NA,NA,2016-007
7,9,RIGHT CALL,V024,M Chadwick,J Size,118,1128,2,5-1/4,8,9,7,NA,0.56.95,32,NA,NA,2016-007
8,11,FISH N' CHIPS,T099,M L Yeung,A Lee,113,1093,7,5-1/4,5,7,8,NA,0.56.95,11,NA,NA,2016-007
9,2,TRAVEL COMFORTS,T209,K K Chiong,A T Millard,117,1136,3,5-1/2,2,2,9,NA,0.57.01,26,NA,NA,2016-007
10,7,WINFULL PATROL,P063,Z Purton,R Gibson,120,1193,12,6-3/4,4,4,10,NA,0.57.19,4.7,NA,NA,2016-007
11,10,LUCKY CELEBRITY,S392,J Moreira,W Y So,116,1032,13,7-1/4,9,6,11,NA,0.57.28,7.3,NA,NA,2016-007
12,6,ENDEARING,V338,S Clipperton,T P Yung,120,1112,8,8-3/4,7,10,12,NA,0.57.52,99,NA,NA,2016-007
13,8,EASY TOUCH,V269,K C Leung,C S Shum,116,1217,11,15,10,13,13,NA,0.58.53,99,NA,NA,2016-007
14,4,MR RIGHT,T334,T H So,L Ho,119,1217,9,16,6,8,14,NA,0.58.69,99,NA,NA,2016-007
1,14,MULTIMAX,T129,K K Chiong,A S Cruz,109,1139,12,-,1,1,1,NA,1.09.55,9.9,NA,NA,2016-008
2,3,CHARITY GLORY,T302,N Rawiller,C S Shum,127,1162,5,SH,5,4,2,NA,1.09.57,19,NA,NA,2016-008
3,8,IRON BOY,V071,D Whyte,K W Lui,121,1169,3,3/4,4,3,3,NA,1.09.68,2.7,NA,NA,2016-008
4,4,GREEN CARD,V126,J Moreira,J Moore,127,1128,1,3/4,7,6,4,NA,1.09.70,2.2,NA,NA,2016-008
5,13,LOTUS BREEZE,T112,T H So,W Y So,114,1078,14,1-1/4,8,8,5,NA,1.09.76,40,NA,NA,2016-008
6,12,GOLDEN SUN,V187,K Teetan,A T Millard,116,1052,11,3,6,7,6,NA,1.10.03,59,NA,NA,2016-008
7,11,EXPEDITE,N111,H N Wong,P O'Sullivan,109,1101,10,3-1/4,14,14,7,NA,1.10.06,99,NA,NA,2016-008
8,9,RADIANT STEED,V127,S Clipperton,Y S Tsui,118,1150,2,3-3/4,9,9,8,NA,1.10.15,47,NA,NA,2016-008
9,2,FABULOUS NOVEMBER,N342,O Bosson,R Gibson,133,1140,8,4-1/2,13,13,9,NA,1.10.28,99,NA,NA,2016-008
10,10,CAREFREE LET GO,T059,H T Mo,C S Shum,107,1056,13,5,10,12,10,NA,1.10.35,13,NA,NA,2016-008
11,6,ORIONIDS,V355,H W Lai,C S Shum,122,1313,7,5-1/2,2,2,11,NA,1.10.44,99,NA,NA,2016-008
12,1,CAPE THE FAITH,V349,O Doleuze,C Fownes,133,1085,4,5-1/2,12,10,12,NA,1.10.45,99,NA,NA,2016-008
13,5,ELITE SPIRIT,S200,K C Ng,W Y So,120,1159,6,9,11,11,13,NA,1.10.97,99,NA,NA,2016-008
14,7,SUNNY ORIENT,V302,K C Leung,T P Yung,120,1098,9,14-1/4,3,5,14,NA,1.11.83,11,NA,NA,2016-008
1,8,BABA MAMA,V214,K C Leung,L Ho,117,1094,10,-,11,10,10,1,1.21.58,3.5,NA,NA,2016-009
2,7,SMART BOY,V076,B Prebble,W Y So,120,1142,5,3/4,4,5,5,2,1.21.70,6.6,NA,NA,2016-009
3,6,BEAUTY KINGDOM,T189,Z Purton,A S Cruz,122,1078,9,3/4,3,2,1,3,1.21.72,6.1,NA,NA,2016-009
4,11,KIRAM,T093,H W Lai,D E Ferraris,116,1125,2,1,7,8,6,4,1.21.75,75,NA,NA,2016-009
5,10,NITRO EXPRESS,T353,K Teetan,D E Ferraris,117,1172,4,2-1/2,10,11,8,5,1.21.96,18,NA,NA,2016-009
6,12,CHEERFUL BOY,V019,H T Mo,C S Shum,105,1085,11,3-1/2,8,3,3,6,1.22.13,15,NA,NA,2016-009
7,3,ENORMOUS HONOUR,T236,N Rawiller,Y S Tsui,130,1130,12,5-1/4,12,12,12,7,1.22.42,11,NA,NA,2016-009
8,2,JOYFUL MOMENTS,T134,N Callan,R Gibson,133,1091,6,5-1/2,2,6,4,8,1.22.44,10,NA,NA,2016-009
9,9,METALLIC STAR,N309,K K Chiong,C H Yip,112,996,8,8-1/4,1,1,2,9,1.22.90,22,NA,NA,2016-009
10,5,YORKSHIRE DALES,V173,M L Yeung,C S Shum,123,1037,1,8-1/2,9,9,7,10,1.22.92,99,NA,NA,2016-009
11,4,PEOPLE'S KNIGHT,T305,J Moreira,J Moore,130,1141,3,10,6,7,9,11,1.23.18,4,NA,NA,2016-009
12,1,BALAY BALAY,V247,M Chadwick,A T Millard,133,1125,7,17-1/2,5,4,11,12,1.24.37,99,NA,NA,2016-009
1,9,ORIENTAL FANTASIA,P269,H N Wong,Y S Tsui,110,1098,1,-,2,2,1,NA,1.11.08,3.9,NA,NA,2016-011
2,10,GREAT SPEED,S251,T H So,L Ho,112,1093,6,3/4,10,8,2,NA,1.11.21,6.7,NA,NA,2016-011
3,5,SHINING CHAMPION,S305,N Callan,R Gibson,132,1117,7,1,9,10,3,NA,1.11.26,35,NA,NA,2016-011
4,11,INTELLECTUAL GLIDE,S124,M L Yeung,A Lee,112,1014,3,1-1/4,7,6,4,NA,1.11.28,9.5,NA,NA,2016-011
5,4,IDYLLIC WIND,N139,D Whyte,T K Ng,132,1197,2,1-1/4,5,4,5,NA,1.11.29,9.8,NA,NA,2016-011
6,2,FORZA AVANTI,V090,Y T Cheng,Y S Tsui,130,1100,11,2-1/4,8,9,6,NA,1.11.44,53,NA,NA,2016-011
7,7,OPTIMISM,S150,J Moreira,D E Ferraris,128,1063,12,2-1/2,12,12,7,NA,1.11.48,5,NA,NA,2016-011
8,1,FOREVER FUN,S130,N Rawiller,K L Man,133,1023,4,3,6,7,8,NA,1.11.55,11,NA,NA,2016-011
9,6,GIDDY GIDDY,S367,O Doleuze,J Size,131,1102,8,3-1/4,3,3,9,NA,1.11.60,14,NA,NA,2016-011
10,8,KING OF SMARTS,S176,K C Leung,D Cruz,115,1055,10,3-1/2,11,11,10,NA,1.11.62,26,NA,NA,2016-011
11,3,RUGBY DIAMOND,S432,K K Chiong,W Y So,126,1031,9,5-1/2,1,1,11,NA,1.11.94,8,NA,NA,2016-011
12,12,SMART GAIN,T404,K C Ng,C W Chang,108,1018,5,7-3/4,4,5,12,NA,1.12.32,28,NA,NA,2016-011
WV,NA,FORMULA GALORE,V011,Z Purton,C Fownes,133,1074,---,---,NA,NA,NA,NA,---,---,NA,NA,2016-011
1,5,FLYING MONKEY,T361,J Moreira,W Y So,125,1070,7,-,2,2,1,NA,1.10.78,2.5,NA,NA,2016-012
2,1,MISSION POSSIBLE,V043,N Rawiller,C S Shum,133,962,6,1/2,3,4,2,NA,1.10.85,4.4,NA,NA,2016-012
3,8,EMPEROR VICTORY,T340,D Whyte,Y S Tsui,121,1075,2,1-1/4,4,5,3,NA,1.10.97,9.5,NA,NA,2016-012
4,11,MR KOOL,T335,M Chadwick,A S Cruz,116,1049,1,2-3/4,7,6,4,NA,1.11.21,8.5,NA,NA,2016-012
5,3,BREEDERS' STAR,V197,B Prebble,D E Ferraris,128,1148,8,3,1,1,5,NA,1.11.27,13,NA,NA,2016-012
6,9,PENNY LANE,P021,K Teetan,A T Millard,121,1149,10,3-1/4,5,3,6,NA,1.11.32,94,NA,NA,2016-012
7,7,BORN TO RACE,T383,C Y Ho,C Fownes,119,1111,5,3-1/4,10,9,7,NA,1.11.32,18,NA,NA,2016-012
8,12,ST YAZIN,N409,T H So,T K Ng,113,1064,12,4-1/4,8,8,8,NA,1.11.45,48,NA,NA,2016-012
9,2,ROCKET LET WIN,P330,K C Leung,D Cruz,129,1078,4,5-1/2,6,7,9,NA,1.11.67,51,NA,NA,2016-012
10,10,RISING POWER,N294,O Doleuze,C W Chang,120,1082,9,6,11,10,10,NA,1.11.74,72,NA,NA,2016-012
11,4,GENTILIS,S011,K K Chiong,C H Yip,121,1068,3,7-3/4,9,11,11,NA,1.12.02,6,NA,NA,2016-012
12,6,MASTER GOLD,T325,Y T Cheng,L Ho,125,1108,11,10,12,12,12,NA,1.12.40,99,NA,NA,2016-012
1,6,SPEEDY WALLY,T002,Z Purton,C Fownes,126,1098,4,-,7,6,6,1,1.42.27,4.8,NA,NA,2016-013
2,2,ISLAND FLYER,S423,O Bosson,P F Yiu,132,1085,9,2-1/4,8,8,3,2,1.42.64,15,NA,NA,2016-013
3,8,MI SAVVY BOY,S381,K Teetan,A T Millard,125,1093,7,2-3/4,6,7,7,3,1.42.73,13,NA,NA,2016-013
4,3,YEUNG SING,P001,N Rawiller,K W Lui,131,1105,1,3,10,9,9,4,1.42.76,7.6,NA,NA,2016-013
5,5,GLAMOROUS RYDER,S007,S Clipperton,P O'Sullivan,126,1079,5,3-1/2,9,10,11,5,1.42.83,48,NA,NA,2016-013
6,9,PRECIOUS GEM,S097,C Y Ho,T K Ng,118,1106,11,4-1/4,5,4,1,6,1.42.96,19,NA,NA,2016-013
7,7,FLYING MACHINE,T413,J Moreira,W Y So,125,1066,2,4-1/2,3,3,5,7,1.42.99,3.9,NA,NA,2016-013
8,1,BEST JADE TRIUMPH,P070,B Prebble,A Lee,133,1013,12,6-3/4,12,12,12,8,1.43.34,18,NA,NA,2016-013
9,4,SAFARI MAGIC,N166,H N Wong,Y S Tsui,120,1111,6,7,4,5,8,9,1.43.38,14,NA,NA,2016-013
10,10,HIGH SPEED METRO,P293,T H So,L Ho,117,1139,3,7-1/4,11,11,10,10,1.43.43,17,NA,NA,2016-013
11,12,MIGHTY WONGCHOY,S050,K K Chiong,K L Man,106,1106,10,11,1,1,2,11,1.44.01,5.6,NA,NA,2016-013
12,11,DRAGON GLORY,P130,K C Leung,C W Chang,115,1102,8,18-1/4,2,2,4,12,1.45.19,19,NA,NA,2016-013
1,7,SUPER FORM,T232,K Teetan,A T Millard,123,1095,8,-,8,9,9,1,1.42.08,94,NA,NA,2016-014
2,11,GLORY STAR,T336,T H So,C S Shum,113,1108,2,1/2,4,4,3,2,1.42.17,13,NA,NA,2016-014
3,9,NEWSWIRE FREE,S407,N Callan,P F Yiu,120,1118,7,1,9,8,8,3,1.42.26,8.6,NA,NA,2016-014
4,6,RAPID TRIUMPH,S438,O Bosson,T P Yung,124,1053,9,1-1/2,11,10,11,4,1.42.32,15,NA,NA,2016-014
5,3,SUPER SPRINTER,V105,J Moreira,C S Shum,128,1029,6,2,7,6,7,5,1.42.41,2.6,NA,NA,2016-014
6,8,MAC ROW,N252,M L Yeung,A Lee,118,1005,5,3-3/4,12,12,12,6,1.42.66,14,NA,NA,2016-014
7,2,BEST TANGO,S121,Z Purton,W Y So,132,1056,12,3-3/4,10,11,10,7,1.42.68,5.7,NA,NA,2016-014
8,4,LIGHTNING AND GOLD,P354,D Whyte,C H Yip,125,1074,3,4-1/4,5,5,5,8,1.42.77,19,NA,NA,2016-014
9,10,NOBLE DE MAN,S215,K K Chiong,K L Man,109,1051,4,4-3/4,6,7,6,9,1.42.82,9.4,NA,NA,2016-014
10,5,SPARKLING SWORD,P256,H W Lai,K W Lui,125,1165,10,5,2,2,2,10,1.42.87,55,NA,NA,2016-014
11,12,FAITHFUL BOY,T089,Y T Cheng,Y S Tsui,115,1085,1,5,3,3,4,11,1.42.88,13,NA,NA,2016-014
12,1,GRAND HARBOUR,P421,O Doleuze,C W Chang,133,1174,11,13-1/2,1,1,1,12,1.44.22,13,NA,NA,2016-014
1,7,VICTORY MARVEL,T426,Z Purton,C Fownes,125,1179,9,-,7,5,1,NA,1.11.12,3.3,NA,NA,2016-015
2,8,SHARP HUNTER,P097,D Whyte,D E Ferraris,124,1120,8,3/4,8,8,2,NA,1.11.24,15,NA,NA,2016-015
3,3,GLOBE TROTTER,T387,O Bosson,C S Shum,131,1094,5,3,6,7,3,NA,1.11.62,9.5,NA,NA,2016-015
4,1,SUPREME FLIGHT,M199,K K Chiong,A T Millard,126,1069,1,4-1/4,4,4,4,NA,1.11.79,6.5,NA,NA,2016-015
5,10,GLORY HORSIE,M273,J Moreira,D Cruz,118,1231,10,5,3,3,5,NA,1.11.91,28,NA,NA,2016-015
6,5,LONDON MASTER,T345,S Clipperton,K L Man,126,1081,7,6-1/2,2,1,6,NA,1.12.14,29,NA,NA,2016-015
7,12,ROYAL SPIRIT,T257,M Chadwick,C W Chang,116,1021,12,6-1/2,10,9,7,NA,1.12.15,99,NA,NA,2016-015
8,2,VICTORIUS,N423,N Rawiller,Y S Tsui,133,1129,2,8,9,10,8,NA,1.12.38,4.1,NA,NA,2016-015
9,4,GOLDEN GLORY,T076,K Teetan,A Lee,127,1053,3,8-3/4,1,2,9,NA,1.12.50,14,NA,NA,2016-015
10,11,WINNING STAR,T221,H W Lai,L Ho,117,1001,11,10-3/4,12,12,10,NA,1.12.83,99,NA,NA,2016-015
11,9,YO-YO DA,S104,N Callan,W Y So,120,1131,6,18,5,6,11,NA,1.14.01,6.5,NA,NA,2016-015
12,6,HELEN'S CHOICE,P185,M L Yeung,K W Lui,123,1217,4,24,11,11,12,NA,1.14.97,22,NA,NA,2016-015
1,9,HO HO FEEL,T029,K C Leung,C H Yip,116,1147,3,-,4,5,4,1,1.41.31,6.1,NA,NA,2016-016
