第1场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
11,7,夢幻仙子(V222),郭能,蘇偉賢,125,1198,4,5,91011,1.10.84,23
12,9,自在人生(B169),柏寶,羅富全,119,1166,6,2005/3/4,111212,1.11.00,30
,,,,,,,,,,,
第9场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,5,勇冠王(T028),貝湯美,蘇保羅,129,1155,5,-,10881,1.40.55,8.6
2,12,勁有波幅(V081),黃皓楠,呂健威,110,1168,9,短馬頭位,2232,1.40.57,7.4
3,3,軍民歡(B208),韋達,葉楚航,130,1033,1,2001/1/2,91093,1.40.80,86
4,10,放眼量(A140),田泰安,何良,116,1019,6,2002/3/4,4424,1.40.99,5
5,11,萬馬歡騰(A229),蔡明紹,方嘉柏,115,1135,11,4,5555,1.41.19,99
6,1,美麗鉅星(T411),潘明輝,約翰摩亞,126,1290,12,5,1116,1.41.37,10
7,7,金獅叻將(T151),郭能,霍利時,128,1069,10,2005/3/4,7777,1.41.47,17
8,9,裕豐泰(B056),潘頓,沈集成,120,1098,4,2005/3/4,6668,1.41.48,4.6
9,6,紅運精彩(T417),杜利萊,蔡約翰,129,1106,7,2006/1/2,3349,1.41.59,33
10,8,綫路勇駒(A041),巫顯東,告東尼,121,1164,3,2010/1/2,11111110,1.42.24,4.7
11,4,奮鬥雄心(T184),李寶利,姚本輝,130,1189,2,11,891011,1.42.30,25
UR,2,與龍共舞(B129),莫雷拉,蘇偉賢,132,1143,8,-,---,---,10
